,Feature,ks_Statistic,ks_p_value,mwu_Statistic,mwu_p_value,mwu_p,fisher_odds_ratio,fisher_p,chi2_stat,chi2_p
0,Richness,0.3012078003098112,7.20914258690576e-23,1890287.0,5.17913366051014e-26,,,,,
1,bio1,0.24230896941941743,1.5239628843892395e-14,2605619.5,3.484558430549096e-16,,,,,
2,bio4,0.12032288192918028,0.0006876284669648855,1944755.0,0.24763697952898356,,,,,
3,bio10,0.2401777868560876,2.7098201563088313e-14,2606526.5,3.1346537558002683e-16,,,,,
4,bio11,0.20482048382457346,1.7516682336665242e-10,2530275.0,1.3060076847607903e-12,,,,,
5,bio12,0.14857295384024838,1.0496829022744243e-05,1747659.5,8.384977592560226e-05,,,,,
6,bio15,0.20327248398837777,2.48826507486644e-10,2375751.0,8.811599029000155e-07,,,,,
7,bio16,0.1472099739047933,1.310898789130493e-05,1770401.5,0.0003030321983277444,,,,,
8,bio17,0.18304018780260012,1.8994127346243364e-08,1620936.5,1.0739974054544322e-08,,,,,
9,brkl_elevation,0.18119393588641064,2.7562357569936932e-08,1731170.0,3.107342421340299e-05,,,,,
10,elevation,0.17739461389800415,5.85829779710614e-08,1725931.5,2.2425551852728837e-05,,,,,
11,slope,0.2779396085176255,4.532978406765155e-19,1459483.5,1.3123460001603875e-15,,,,,
12,soil_nitrogen,0.20946722683084767,6.006813380186626e-11,1549465.0,2.919801163844935e-11,,,,,
13,soil_ph,0.09912853733784044,0.008861346366197743,2151345.0,0.061629257509699206,,,,,
14,soil_soc,0.24442322323918392,8.564355745055743e-15,1507897.5,4.695868176559229e-13,,,,,
15,soil_depth,0.2663641645165571,1.5824711120388997e-17,2736106.0,8.335668084993376e-24,,,,,
16,soil_ocs,0.22315738749890734,2.2190547251160628e-12,1456743.0,1.800946463572592e-15,,,,,
17,soil_water_cap,0.18060450842206216,3.1015915185202034e-08,1593006.0,1.250074524808537e-09,,,,,
18,latitude,0.12369937177109441,0.00043707932896087253,2146356.0,0.0921097014741464,,,,,
19,longitude,0.1334918583842879,0.00010932450781645597,1930304.5,0.1739214163307793,,,,,
20,In_Malarial_Region,,,,,,8.394165427904014,1.3015969006928055e-09,24.629429554982867,6.948247431125128e-07
21,Common_Name,,,,,,14.904365904365905,5.94808976779498e-85,818.9537578586709,4.085382183793043e-180
22,Poisonous,,,,,,25.507610418348733,2.0083541125794654e-105,1366.3380118314433,4.3382466113496143e-299
23,Medicinal,,,,,,30.079395995185468,5.790448039275686e-152,1280.673827413383,1.7909941118730168e-280
24,Wiki_Page,,,,,,8.164292534314997,7.280131143016449e-63,408.93632832753246,6.24685174575274e-91
25,Antimalarial_Use,,,,,,68.07683927663592,1.3162835711020416e-159,3136.966393586545,0.0
26,Emergence,,,,,,1.8583895967933464,5.600460542074641e-07,24.062136039315202,9.327651411626096e-07
27,Tested_for_Alkaloids,,,,,,46.14078696847895,4.748483774017646e-181,2222.627818985149,0.0
28,habit_hb,,,,,,0.10809817130768752,2.1296153792299568e-08,20.81276442345852,5.0644302642110025e-06
29,habit_li,,,,,,0.952210808017642,0.7866894231779467,0.08423381343950578,0.7716398116211513
30,habit_sc,,,,,,0.9756028099487374,1.0,0.0,1.0
31,habit_sh,,,,,,0.6356765974892897,0.0001782195174346506,13.853385897213201,0.00019764030586998948
32,habit_subsh,,,,,,0.3254849400389135,4.2941839444107306e-17,65.03659954005673,7.351981478514593e-16
33,habit_tr,,,,,,1.9160038461538462,7.791417346132845e-08,29.35021055561121,6.040995255978553e-08
