,Region,Number of Native Species
0,AGE,1
1,ANG,3
2,ARU,1
3,BAH,2
4,BAN,1
5,BEN,1
6,BIS,1
7,BLZ,5
8,BOL,10
9,BOR,1
10,BUR,4
11,BZC,9
12,BZE,9
13,BZL,7
14,BZN,16
15,BZS,4
16,CAB,1
17,CAF,3
18,CAY,2
19,CBD,1
20,CHA,3
21,CLM,13
22,CMN,2
23,CON,3
24,COS,5
25,CUB,3
26,DOM,2
27,ECU,9
28,ELS,5
29,ERI,1
30,ETH,2
31,FLA,1
32,FRG,9
33,GAB,3
34,GAL,1
35,GAM,1
36,GGI,1
37,GHA,2
38,GNB,2
39,GUA,5
40,GUI,3
41,GUY,7
42,HAI,2
43,HON,5
44,IVO,2
45,JAM,2
46,JAW,1
47,KEN,4
48,LAO,1
49,LBR,2
50,LEE,2
51,LSI,1
52,MAU,1
53,MDG,2
54,MLI,1
55,MLW,4
56,MOL,1
57,MOZ,4
58,MXC,2
59,MXE,3
60,MXG,5
61,MXN,1
62,MXS,5
63,MXT,5
64,MYA,1
65,NGA,3
66,NIC,5
67,NLA,2
68,NTA,1
69,NWG,1
70,PAN,5
71,PAR,2
72,PER,15
73,PHI,1
74,PUE,2
75,QLD,1
76,REU,1
77,RWA,2
78,SEN,2
79,SIE,2
80,SOL,1
81,SOM,1
82,SRL,1
83,SUD,2
84,SUL,1
85,SUM,1
86,SUR,7
87,SWC,3
88,TAN,5
89,TCI,2
90,THA,1
91,TOG,1
92,TRT,4
93,UGA,4
94,VEN,9
95,VIE,1
96,VNA,3
97,WIN,3
98,ZAI,5
99,ZAM,3
100,ZIM,3
